Gene_ID	KO_ID	Description	Pathway	Pathway Function	Major_Group
evm.model.CP144691.1_RagTag.2993	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.851	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.231	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1502	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2832	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2463	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3351	K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.721	K01895	ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.contig_1584.9	K01895	ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.327	K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.1218	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.4263	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2411	K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.675	K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.2137	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.1698	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144698.1_RagTag.2137	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.592	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.816	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.4020	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.861	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.contig_2302.2	K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.contig_3758.1	K11780	cofG; 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.contig_2697.2	K16793	aksE; methanogen homoaconitase small subunit [EC:4.2.1.114]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3277	K07144	mfnE; 5-(aminomethyl)-3-furanmethanol phosphate kinase [EC:2.7.4.31]	Methane metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.293	K01455	E3.5.1.49; formamidase [EC:3.5.1.49]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.515	K02575	NRT2, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.3249	K10534	NR; nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.1495	K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.1011	K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.contig_1394.7	K04561	norB; nitric oxide reductase subunit B [EC:1.7.2.5]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.610	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.179	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.715	K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.1623	K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.2926	K00264	GLT1; glutamate synthase (NADH) [EC:1.4.1.14]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.62	K01725	cynS; cyanate lyase [EC:4.2.1.104]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2050	K01672	CA; carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2051	K01672	CA; carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.360	K01673	cynT, can; carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.4818	K01673	cynT, can; carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.502	K01674	cah; carbonic anhydrase [EC:4.2.1.1]	Nitrogen metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2844	K00860	cysC; adenylylsulfate kinase [EC:2.7.1.25]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.332	K01082	cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.1561	K15422	SAL; 3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase [EC:3.1.3.7 3.1.3.57]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.807	K05907	APR; adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.329	K21307	soeA; sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.3409	K00392	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2061	K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.279	K01738	cysK; cysteine synthase [EC:2.5.1.47]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3312	K01738	cysK; cysteine synthase [EC:2.5.1.47]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.1956	K17069	MET17; O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.contig_1780.2	K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.2028	K01739	metB; cystathionine gamma-synthase [EC:2.5.1.48]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.1340	K17285	SELENBP1; methanethiol oxidase [EC:1.8.3.4]	Sulfur metabolism	09102 Energy metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.4329	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.6081	K01961	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1681	K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144701.1_RagTag.8	K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.886	K03955	NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.1711	K00645	fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.396	K00665	FASN; fatty acid synthase, animal type [EC:2.3.1.85]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.5463	K00665	FASN; fatty acid synthase, animal type [EC:2.3.1.85]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144698.1_RagTag.339	K00667	FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2985	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.2192	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.2462	K09458	fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.6054	K09458	fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2852	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.2135	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.4317	K10781	FATB; fatty acyl-ACP thioesterase B [EC:3.1.2.14 3.1.2.21]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.627	K10781	FATB; fatty acyl-ACP thioesterase B [EC:3.1.2.14 3.1.2.21]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.934	K03921	FAB2, SSI2, desA1; acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2512	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2508	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3633	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.32	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.2790	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.399	K01074	PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.79	K15397	KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3490	K15397	KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.2971	K15397	KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.3208	K10245	ELO2; fatty acid elongase 2 [EC:2.3.1.199]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.1409	K10251	HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.5616	K10251	HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.contig_2467.6	K10703	HACD, PHS1, PAS2; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.510	K10258	TER, TSC13, CER10; very-long-chain enoyl-CoA reductase [EC:1.3.1.93]	Fatty acid elongation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.203	K00626	ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1513	K00626	ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.573	K07513	ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1357	K10527	MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1298	K01692	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2996	K07514	EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.2160	K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.144	K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.contig_384.6	K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2512	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2508	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3633	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.32	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.2790	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.3630	K08765	CPT1A; carnitine O-palmitoyltransferase 1, liver isoform [EC:2.3.1.21]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.1284	K07517	ECI1_2; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2057	K07422	CYP2U1; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.1009	K07425	CYP4A; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.4647	K20495	CYP704B1; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2197	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3064	K18857	ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.381	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2947	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.596	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.1814	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.5820	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Fatty acid degradation	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144698.1_RagTag.272	K15398	CYP86A4S; fatty acid omega-hydroxylase [EC:1.14.-.-]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.4647	K20495	CYP704B1; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3690	K21995	CYP77A; cytochrome P450 family 77 subfamily A [EC:1.14.-.-]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.3020	K15400	HHT1; omega-hydroxypalmitate O-feruloyl transferase [EC:2.3.1.188]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.629	K15400	HHT1; omega-hydroxypalmitate O-feruloyl transferase [EC:2.3.1.188]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3567	K17991	PXG; peroxygenase [EC:1.11.2.3]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.3341	K15402	CYP86B1; fatty acid omega-hydroxylase [EC:1.14.-.-]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.266	K15403	ACE, HTH; fatty acid omega-hydroxy dehydrogenase [EC:1.1.-.-]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.223	K13356	FAR; alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.587	K13356	FAR; alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.2723	K13356	FAR; alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.917	K15406	WSD1; wax-ester synthase / diacylglycerol O-acyltransferase [EC:2.3.1.75 2.3.1.20]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.3046	K27538	PES; diacylglycerol/phytol O-acyltransferase [EC:2.3.1.20 2.3.1.314]	Cutin, suberine and wax biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.1711	K00645	fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	Mycolic acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.934	K03921	FAB2, SSI2, desA1; acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]	Mycolic acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.contig_119.4	K18851	fbp; diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85 [EC:2.3.1.20 2.3.1.122 2.3.1.-]	Mycolic acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.1951	K00801	FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.3917	K00511	SQLE, ERG1; squalene monooxygenase [EC:1.14.14.17]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.725	K01852	LSS, ERG7; lanosterol synthase [EC:5.4.99.7]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144698.1_RagTag.2184	K05917	CYP51; sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.46	K07748	NSDHL, ERG26; sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.3322	K09828	DHCR24, DWF1; Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2476	K01052	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.413	K14674	TGL4; TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2610	K14674	TGL4; TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.1062	K07419	CYP2R1; vitamin D 25-hydroxylase [EC:1.14.14.24]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3639	K23558	3BETAHSDD; plant 3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase [EC:1.1.1.418]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144689.1_RagTag.95	K08242	E2.1.1.143; 24-methylenesterol C-methyltransferase [EC:2.1.1.143]	Steroid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.contig_2444.6	K10223	CH25H; cholesterol 25-hydroxylase [EC:1.14.99.38]	Primary bile acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.1566	K00488	CYP27A1; cholestanetriol 26-monooxygenase [EC:1.14.15.15]	Primary bile acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.2543	K07431	CYP8B1; sterol 12-alpha-hydroxylase [EC:1.14.14.139]	Primary bile acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
evm.model.contig_4092.2	K00659	BAAT; bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]	Primary bile acid biosynthesis	09103 Lipid metabolism	09100 Metabolism
