Gene_Name	GO_ID	GO_Name	GO_Annotation	GO_Aspect
evm.model.CP144691.1_RagTag.239	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Any process involved in the maturation of a precursor Large SubUnit (LSU) ribosomal RNA (rRNA) molecule into a mature LSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and Large Subunit (LSU) in that order from 5' to 3' along the primary transcript.	biological_process
evm.model.CP144692.1_RagTag.74	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144690.1_RagTag.1977	GO:0010143	cutin biosynthetic process	The chemical reactions and pathways resulting in the formation of cutin, a waxy substance, which combined with cellulose forms a substance nearly impervious to water and constituting the cuticle in plants.	biological_process
evm.model.CP144699.1_RagTag.3439	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144692.1_RagTag.2684	GO:0009734	auxin-activated signaling pathway	The series of molecular signals generated by the binding of the plant hormone auxin to a receptor, and ending with modulation of a downstream cellular process, e.g. transcription.	biological_process
evm.model.CP144695.1_RagTag.2859	GO:0008270	zinc ion binding	Binding to a zinc ion (Zn).	molecular_function
evm.model.CP144694.1_RagTag.214	GO:0005739	mitochondrion	A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.	cellular_component
evm.model.CP144695.1_RagTag.1442	GO:0001510	RNA methylation	Posttranscriptional addition of a methyl group to either a nucleotide or 2'-O ribose in a polyribonucleotide. Usually uses S-adenosylmethionine as a cofactor.	biological_process
evm.model.CP144691.1_RagTag.2780	GO:0010073	meristem maintenance	Any process involved in maintaining the identity, size and shape of a meristem.	biological_process
evm.model.CP144700.1_RagTag.1697	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144695.1_RagTag.1379	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.contig_544.3	GO:0006952	defense response	Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.	biological_process
evm.model.CP144699.1_RagTag.884	GO:0003779	actin binding	Binding to monomeric or multimeric forms of actin, including actin filaments.	molecular_function
evm.model.CP144691.1_RagTag.2044	GO:0015211	purine nucleoside transmembrane transporter activity	Enables the transfer of a purine nucleoside, a purine base covalently bonded to a ribose or deoxyribose sugar, from one side of a membrane to the other.	molecular_function
evm.model.CP144700.1_RagTag.4953	GO:0003993	acid phosphatase activity	Catalysis of the reaction: an orthophosphoric monoester + H2O = an alcohol + phosphate, with an acid pH optimum.	molecular_function
evm.model.CP144696.1_RagTag.938	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144700.1_RagTag.1927	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144696.1_RagTag.2431	GO:0004722	protein serine/threonine phosphatase activity	Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate.	molecular_function
evm.model.CP144690.1_RagTag.3590	GO:0004190	aspartic-type endopeptidase activity	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile.	molecular_function
evm.model.CP144697.1_RagTag.1664	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144695.1_RagTag.434	GO:0043531	ADP binding	Binding to ADP, adenosine 5'-diphosphate.	molecular_function
evm.model.CP144699.1_RagTag.516	GO:0003712	transcription coregulator activity	A transcription regulator activity that modulates the transcription of specific gene sets via binding to a DNA-binding transcription factor at a specific genomic locus, either on its own or as part of a complex. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators.	molecular_function
evm.model.CP144691.1_RagTag.756	GO:0016567	protein ubiquitination	The process in which one or more ubiquitin groups are added to a protein.	biological_process
evm.model.CP144700.1_RagTag.2220	GO:0006486	protein glycosylation	A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.	biological_process
evm.model.CP144690.1_RagTag.928	GO:0061630	ubiquitin protein ligase activity	Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S = X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues.	molecular_function
evm.model.CP144698.1_RagTag.978	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	Catalysis of the reaction: thioredoxin-dithiol + NADP+ = thioredoxin-disulfide + H+ + NADPH.	molecular_function
evm.model.CP144690.1_RagTag.694	GO:0043622	cortical microtubule organization	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures formed of microtubules and associated proteins in the cell cortex, i.e. just beneath the plasma membrane of a cell.	biological_process
evm.model.CP144700.1_RagTag.318	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144696.1_RagTag.924	GO:0004566	beta-glucuronidase activity	Catalysis of the reaction: a beta-D-glucuronoside + H2O = an alcohol + D-glucuronate.	molecular_function
evm.model.CP144690.1_RagTag.1379	GO:0004435	phosphatidylinositol-4,5-bisphosphate phospholipase C activity	Catalysis of the reaction: a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate) + H2O = 1D-myo-inositol 1,4,5-trisphosphate + a 1,2-diacyl-sn-glycerol + H+.	molecular_function
evm.model.CP144690.1_RagTag.225	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144695.1_RagTag.1027	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144693.1_RagTag.570	GO:0046983	protein dimerization activity	The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.	molecular_function
evm.model.CP144695.1_RagTag.2214	GO:0006486	protein glycosylation	A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.	biological_process
evm.model.CP144698.1_RagTag.128	GO:1900150	regulation of defense response to fungus	Any process that modulates the frequency, rate or extent of defense response to fungus.	biological_process
evm.model.CP144691.1_RagTag.2507	GO:0004467	long-chain fatty acid-CoA ligase activity	Catalysis of the reaction: a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP + diphosphate. A long-chain fatty acid has an aliphatic tail containing 13 to 22 carbons.	molecular_function
evm.model.CP144691.1_RagTag.482	GO:0003723	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
evm.model.CP144698.1_RagTag.353	GO:0047617	fatty acyl-CoA hydrolase activity	Catalysis of the reaction: a fatty acyl-CoA + H2O = a fatty acid + CoA + H+.	molecular_function
evm.model.CP144700.1_RagTag.6085	GO:0006357	regulation of transcription by RNA polymerase II	Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.	biological_process
evm.model.CP144695.1_RagTag.3546	GO:0006470	protein dephosphorylation	The process of removing one or more phosphoric residues from a protein.	biological_process
evm.model.CP144693.1_RagTag.2161	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	Catalysis of the hydrolysis of any O-glycosyl bond.	molecular_function
evm.model.CP144696.1_RagTag.1002	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144699.1_RagTag.227	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144692.1_RagTag.3970	GO:0007346	regulation of mitotic cell cycle	Any process that modulates the rate or extent of progress through the mitotic cell cycle.	biological_process
evm.model.CP144695.1_RagTag.28	GO:0005839	proteasome core complex	A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex.	cellular_component
evm.model.CP144691.1_RagTag.2172	GO:0009507	chloroplast	A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.	cellular_component
evm.model.CP144700.1_RagTag.2434	GO:0006629	lipid metabolic process	The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.	biological_process
evm.model.CP144699.1_RagTag.1460	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144691.1_RagTag.1709	GO:0004722	protein serine/threonine phosphatase activity	Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate.	molecular_function
evm.model.CP144690.1_RagTag.3594	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144692.1_RagTag.452	GO:0000118	histone deacetylase complex	A protein complex that possesses histone deacetylase activity.	cellular_component
evm.model.CP144699.1_RagTag.4052	GO:0004642	phosphoribosylformylglycinamidine synthase activity	Catalysis of the reaction: N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide + L-glutamine + ATP + H2O = 2-(formamido)-N(1)-(5-phospho-D-ribosyl)acetamidine + L-glutamate + ADP + 2 H+ + phosphate.	molecular_function
evm.model.CP144698.1_RagTag.1907	GO:0005794	Golgi apparatus	A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways.	cellular_component
evm.model.CP144690.1_RagTag.1598	GO:0003677	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
evm.model.CP144690.1_RagTag.636	GO:0004864	protein phosphatase inhibitor activity	Binds to and stops, prevents or reduces the activity of a protein phosphatase.	molecular_function
evm.model.CP144698.1_RagTag.2325	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144698.1_RagTag.1137	GO:0008289	lipid binding	Binding to a lipid.	molecular_function
evm.model.CP144697.1_RagTag.2971	GO:0030570	pectate lyase activity	Catalysis of the reaction: a pectate = a pectate + a pectate oligosaccharide with 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate end. This reaction is the eliminative cleavage of pectate to give oligosaccharides with 4-deoxy-alpha-D-gluc-4-enuronosyl groups at their non-reducing ends.	molecular_function
evm.model.CP144694.1_RagTag.45	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.contig_392.2	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144696.1_RagTag.2540	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144699.1_RagTag.676	GO:0015211	purine nucleoside transmembrane transporter activity	Enables the transfer of a purine nucleoside, a purine base covalently bonded to a ribose or deoxyribose sugar, from one side of a membrane to the other.	molecular_function
evm.model.CP144695.1_RagTag.1561	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144690.1_RagTag.3621	GO:0009505	plant-type cell wall	A more or less rigid structure lying outside the cell membrane of a cell and composed of cellulose and pectin and other organic and inorganic substances.	cellular_component
evm.model.CP144693.1_RagTag.556	GO:0016788	hydrolase activity, acting on ester bonds	Catalysis of the hydrolysis of any ester bond.	molecular_function
evm.model.CP144700.1_RagTag.5898	GO:0005315	phosphate transmembrane transporter activity	Enables the transfer of phosphate ions from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters.	molecular_function
evm.model.CP144700.1_RagTag.4285	GO:0008194	UDP-glycosyltransferase activity	Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule.	molecular_function
evm.model.CP144699.1_RagTag.3314	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144690.1_RagTag.816	GO:0003680	minor groove of adenine-thymine-rich DNA binding	Binding to a DNA structure formed by the minor groove of adenine-thymine-rich DNA regions. Examples of proteins having this function are AT-rich interaction domain (ARID)-containing proteins.	molecular_function
evm.model.CP144700.1_RagTag.711	GO:0004521	RNA endonuclease activity	Catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks.	molecular_function
evm.model.CP144694.1_RagTag.2513	GO:0010089	xylem development	The formation of the principal water-conducting tissue of a vascular plant.	biological_process
evm.model.CP144695.1_RagTag.1674	GO:0016757	glycosyltransferase activity	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).	molecular_function
evm.model.CP144695.1_RagTag.3220	GO:0005789	endoplasmic reticulum membrane	The lipid bilayer surrounding the endoplasmic reticulum.	cellular_component
evm.model.CP144692.1_RagTag.1828	GO:0004364	glutathione transferase activity	Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group.	molecular_function
evm.model.CP144695.1_RagTag.1153	GO:0006486	protein glycosylation	A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.	biological_process
evm.model.CP144696.1_RagTag.1288	GO:0006355	regulation of DNA-templated transcription	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	biological_process
evm.model.CP144694.1_RagTag.2234	GO:0022857	transmembrane transporter activity	Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.	molecular_function
evm.model.CP144700.1_RagTag.1713	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144691.1_RagTag.427	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144700.1_RagTag.168	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor).	molecular_function
evm.model.CP144695.1_RagTag.570	GO:0030246	carbohydrate binding	Binding to a carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates.	molecular_function
evm.model.CP144696.1_RagTag.2439	GO:0005315	phosphate transmembrane transporter activity	Enables the transfer of phosphate ions from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters.	molecular_function
evm.model.CP144695.1_RagTag.1990	GO:0000015	phosphopyruvate hydratase complex	A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water.	cellular_component
evm.model.CP144700.1_RagTag.56	GO:0004497	monooxygenase activity	Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.	molecular_function
evm.model.CP144696.1_RagTag.1284	GO:0004335	galactokinase activity	Catalysis of the reaction: D-galactose + ATP = alpha-D-galactose 1-phosphate + ADP + 2 H+.	molecular_function
evm.model.CP144691.1_RagTag.877	GO:0006355	regulation of DNA-templated transcription	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	biological_process
evm.model.contig_1711.2	GO:0050660	flavin adenine dinucleotide binding	Binding to FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2.	molecular_function
evm.model.CP144696.1_RagTag.1835	GO:0006629	lipid metabolic process	The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.	biological_process
evm.model.CP144700.1_RagTag.3807	GO:0009638	phototropism	The movement of an organism, or part of an organism, in response to a light stimulus, usually toward or away from it.	biological_process
evm.model.CP144694.1_RagTag.80	GO:0031491	nucleosome binding	Binding to a nucleosome, a complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.	molecular_function
evm.model.CP144691.1_RagTag.31	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144695.1_RagTag.4366	GO:0000398	mRNA splicing, via spliceosome	The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.	biological_process
evm.model.CP144696.1_RagTag.1682	GO:0005525	GTP binding	Binding to GTP, guanosine triphosphate.	molecular_function
evm.model.CP144695.1_RagTag.1235	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	cellular_component
evm.model.CP144691.1_RagTag.1535	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144700.1_RagTag.5557	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144696.1_RagTag.3527	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	Catalysis of the hydrolysis of any O-glycosyl bond.	molecular_function
evm.model.CP144694.1_RagTag.462	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144697.1_RagTag.2176	GO:0000976	transcription cis-regulatory region binding	Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon.	molecular_function
evm.model.CP144700.1_RagTag.1412	GO:0001510	RNA methylation	Posttranscriptional addition of a methyl group to either a nucleotide or 2'-O ribose in a polyribonucleotide. Usually uses S-adenosylmethionine as a cofactor.	biological_process
evm.model.CP144690.1_RagTag.1446	GO:0005524	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	molecular_function
evm.model.CP144696.1_RagTag.2494	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144700.1_RagTag.1735	GO:0016788	hydrolase activity, acting on ester bonds	Catalysis of the hydrolysis of any ester bond.	molecular_function
evm.model.CP144700.1_RagTag.279	GO:0004042	L-glutamate N-acetyltransferase activity	Catalysis of the reaction: L-glutamate + acetyl-CoA = N-acetyl-L-glutamate + CoA + H+.	molecular_function
evm.model.CP144700.1_RagTag.2426	GO:0009523	photosystem II	A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.	cellular_component
evm.model.CP144699.1_RagTag.3379	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and two oxygen atoms is incorporated into a donor.	molecular_function
evm.model.CP144690.1_RagTag.3980	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	molecular_function
evm.model.CP144694.1_RagTag.390	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144692.1_RagTag.3358	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144694.1_RagTag.2534	GO:0000175	3'-5'-RNA exonuclease activity	Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of an RNA molecule.	molecular_function
evm.model.CP144695.1_RagTag.610	GO:0006511	ubiquitin-dependent protein catabolic process	The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein.	biological_process
evm.model.CP144695.1_RagTag.1581	GO:0004642	phosphoribosylformylglycinamidine synthase activity	Catalysis of the reaction: N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide + L-glutamine + ATP + H2O = 2-(formamido)-N(1)-(5-phospho-D-ribosyl)acetamidine + L-glutamate + ADP + 2 H+ + phosphate.	molecular_function
evm.model.CP144695.1_RagTag.1794	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.contig_2712.5	GO:0008641	ubiquitin-like modifier activating enzyme activity	Catalysis of the activation of small proteins, such as ubiquitin or ubiquitin-like proteins, through the formation of an ATP-dependent high-energy thiolester bond.	molecular_function
evm.model.CP144694.1_RagTag.3503	GO:0003993	acid phosphatase activity	Catalysis of the reaction: an orthophosphoric monoester + H2O = an alcohol + phosphate, with an acid pH optimum.	molecular_function
evm.model.CP144694.1_RagTag.2927	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144697.1_RagTag.1607	GO:0080043	quercetin 3-O-glucosyltransferase activity	Catalysis of the transfer of a glucosyl group from UDP-glucose to the 3-hydroxy group of a quercetin molecule.	molecular_function
evm.model.CP144696.1_RagTag.2403	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144692.1_RagTag.4096	GO:0009734	auxin-activated signaling pathway	The series of molecular signals generated by the binding of the plant hormone auxin to a receptor, and ending with modulation of a downstream cellular process, e.g. transcription.	biological_process
evm.model.CP144700.1_RagTag.6037	GO:0003677	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
evm.model.CP144693.1_RagTag.875	GO:0006869	lipid transport	The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent.	biological_process
evm.model.CP144693.1_RagTag.214	GO:0005524	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	molecular_function
evm.model.CP144694.1_RagTag.3129	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144695.1_RagTag.1629	GO:0009788	negative regulation of abscisic acid-activated signaling pathway	Any process that stops, prevents, or reduces the frequency, rate or extent of abscisic acid (ABA) signaling.	biological_process
evm.model.CP144694.1_RagTag.3551	GO:0004620	phospholipase activity	Catalysis of the hydrolysis of a glycerophospholipid.	molecular_function
evm.model.CP144691.1_RagTag.603	GO:0016788	hydrolase activity, acting on ester bonds	Catalysis of the hydrolysis of any ester bond.	molecular_function
evm.model.CP144695.1_RagTag.3170	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	molecular_function
evm.model.CP144690.1_RagTag.173	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144694.1_RagTag.2650	GO:0009507	chloroplast	A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.	cellular_component
evm.model.CP144697.1_RagTag.3342	GO:0009765	photosynthesis, light harvesting	Absorption and transfer of the energy absorbed from light photons between photosystem reaction centers.	biological_process
evm.model.CP144699.1_RagTag.4094	GO:0015095	magnesium ion transmembrane transporter activity	Enables the transfer of magnesium (Mg) ions from one side of a membrane to the other.	molecular_function
evm.model.CP144695.1_RagTag.1348	GO:0080043	quercetin 3-O-glucosyltransferase activity	Catalysis of the transfer of a glucosyl group from UDP-glucose to the 3-hydroxy group of a quercetin molecule.	molecular_function
evm.model.CP144695.1_RagTag.496	GO:0009707	chloroplast outer membrane	The outer, i.e. cytoplasm-facing, lipid bilayer of the chloroplast envelope.	cellular_component
evm.model.CP144694.1_RagTag.2601	GO:0003723	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
evm.model.CP144695.1_RagTag.1476	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.contig_704.4	GO:0004252	serine-type endopeptidase activity	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).	molecular_function
